code_client;domain;category
125;technideal.com;Industry
132;groupe-agp.com;Industry
127;cel-france.com;Industry
133;socomec.fr;Industry
123;rexel.fr;Industry
135;rs-online.com;Industry
124;scie-cablage.com;Industry
130;comeca-group.com;Industry
126;tecumseh.com;Industry
136;bcig.fr;Industry
141;rexel.fr;Industry
137;kohler-soreel.com;Industry
131;sncf-voyageurs.com;Industry
